戈ら戳,>1000眎计,>1000眎狥Τκだゑ,Μ絃基,栋玂羆眎计,羆狥计,キА眎计/,>400眎狥Τ眎计,>400眎狥Τκだゑ,>400眎狥计,400~600眎计,600~800眎计,800~1000眎计
20230922,235,78.38,10.2,"3,546,563","133,173",26.63,"2,873,283",81.02,390,89,42,24
20230915,238,78.41,40.45,"3,546,563","133,303",26.61,"2,872,723",81,391,89,42,22
20230908,238,78.31,39.55,"3,546,563","133,482",26.57,"2,870,652",80.94,392,88,42,24
20230901,236,78.18,40.3,"3,546,563","133,803",26.51,"2,866,155",80.82,391,90,42,23
20230825,236,78.15,39.6,"3,546,563","133,743",26.52,"2,866,903",80.84,395,93,43,23
20230818,233,78.12,39.1,"3,546,563","133,726",26.52,"2,868,310",80.88,396,95,45,23
20230811,231,78.26,40,"3,546,563","133,346",26.6,"2,872,586",81,393,94,44,24
20230804,234,78.36,40.55,"3,546,563","132,950",26.68,"2,873,940",81.03,393,94,43,22
20230728,236,78.56,40.1,"3,546,563","132,019",26.86,"2,877,954",81.15,390,93,39,22
20230721,232,79.52,39.15,"3,546,563","127,065",27.91,"2,909,804",82.05,385,98,36,19
20230714,243,80.2,43.9,"3,546,563","123,686",28.67,"2,932,941",82.7,393,94,36,20
20230707,242,80.32,43.95,"3,546,563","123,385",28.74,"2,936,034",82.79,391,96,35,18
20230630,238,80.31,44.4,"3,546,563","123,350",28.75,"2,936,629",82.8,388,97,32,21
20230621,236,80.17,44.2,"3,546,563","123,572",28.7,"2,934,538",82.74,390,98,35,21
20230616,235,80.18,43.95,"3,546,563","123,640",28.68,"2,933,219",82.71,386,95,35,21
20230609,237,80.29,44.6,"3,546,563","123,363",28.75,"2,938,504",82.85,391,98,34,22
20230602,238,80.14,44.25,"3,546,563","124,001",28.6,"2,934,297",82.74,394,102,32,22
20230526,241,80.2,43.9,"3,546,563","124,115",28.57,"2,934,852",82.75,396,102,33,20
20230519,242,80.13,44.5,"3,546,563","124,537",28.48,"2,931,268",82.65,395,99,34,20
20230512,239,79.94,43.95,"3,546,563","124,889",28.4,"2,928,910",82.58,397,101,34,23
20230505,243,79.97,44.25,"3,546,563","125,074",28.36,"2,928,822",82.58,399,97,37,22
20230428,240,79.9,43.95,"3,545,928","125,455",28.26,"2,926,076",82.52,397,99,36,22
20230421,240,79.74,43.8,"3,545,928","125,894",28.17,"2,922,752",82.43,401,101,36,24
20230414,239,79.7,43.65,"3,545,928","126,087",28.12,"2,920,869",82.37,400,102,37,22
20230407,241,79.65,43.25,"3,545,928","126,715",27.98,"2,918,269",82.3,401,102,36,22
20230331,241,79.65,43.3,"3,545,928","126,875",27.95,"2,918,201",82.3,401,103,35,22
20230324,239,79.53,43,"3,545,928","126,967",27.93,"2,917,615",82.28,406,110,34,23
20230317,241,79.57,42.65,"3,545,928","126,874",27.95,"2,919,625",82.34,407,106,35,25
20230310,240,79.58,42.85,"3,545,928","126,629",28,"2,918,810",82.31,404,104,36,24
20230303,242,79.78,44.35,"3,545,928","125,147",28.33,"2,925,637",82.51,405,104,32,27
20230224,241,79.71,44.75,"3,545,928","125,530",28.25,"2,924,118",82.46,405,103,34,27
20230217,242,79.52,42.85,"3,545,928","126,905",27.94,"2,915,176",82.21,403,101,36,24
20230210,241,79.56,42.2,"3,545,928","126,658",28,"2,916,645",82.25,401,96,41,23
20230203,241,79.64,42.3,"3,545,928","126,386",28.06,"2,921,224",82.38,404,100,39,24
20230117,240,79.65,42.65,"3,545,928","126,486",28.03,"2,921,081",82.38,401,98,40,23
20230113,241,79.64,42.15,"3,545,928","126,883",27.95,"2,917,667",82.28,398,97,39,21
20230106,239,79.48,41.35,"3,545,928","127,515",27.81,"2,915,128",82.21,401,98,44,20
20221230,240,79.56,41,"3,545,928","127,425",27.83,"2,915,478",82.22,399,96,43,20
20221223,238,79.65,41.55,"3,545,928","127,041",27.91,"2,918,944",82.32,397,98,38,23
20221216,232,79.83,41.9,"3,545,928","126,324",28.07,"2,926,872",82.54,394,100,42,20
20221209,233,79.91,41.35,"3,545,928","126,266",28.08,"2,929,910",82.63,395,102,38,22
20221202,232,79.88,40.85,"3,545,928","126,338",28.07,"2,927,927",82.57,393,100,38,23
20221125,231,79.95,40.95,"3,545,928","125,557",28.24,"2,935,172",82.78,398,102,41,24
20221118,231,79.94,41.25,"3,545,928","125,722",28.2,"2,934,593",82.76,399,104,43,21
20221111,232,79.77,39.05,"3,545,928","126,754",27.97,"2,927,709",82.57,398,101,40,25
20221104,230,79.74,37.45,"3,545,928","126,586",28.01,"2,926,661",82.54,396,100,42,24
20221028,232,79.82,37.1,"3,545,928","126,117",28.12,"2,929,992",82.63,400,104,40,24
20221021,233,79.96,37.5,"3,545,928","125,833",28.18,"2,932,124",82.69,396,99,41,23
20221014,230,80.08,38.45,"3,545,928","125,035",28.36,"2,938,129",82.86,394,97,40,27
20221007,231,80.2,40,"3,545,928","124,771",28.42,"2,941,773",82.96,397,101,43,22
20220930,232,80.28,39.4,"3,545,928","124,271",28.53,"2,945,772",83.07,399,101,44,22
20220923,230,80.37,42.35,"3,545,928","122,921",28.85,"2,950,371",83.2,397,98,45,24
20220916,234,80.4,44.2,"3,545,928","123,022",28.82,"2,952,521",83.27,403,99,46,24
